Post ID,Platform,Post Date,Posting Time,Content Type,Reach,Impressions,Likes,Comments,Shares,Saves,Followers Gained,Engagement Rate
POST00602,Instagram,2024-05-27,22:45,Reel,88611,181305,5042,85,64,122,49,6.0
POST00603,Instagram,2024-09-07,20:35,Image,26623,43819,2110,62,16,58,10,8.44
POST00604,LinkedIn,2024-05-20,22:43,Story,23655,44424,650,31,9,16,1,2.98
POST00605,Instagram,2024-10-05,21:52,Image,56411,98083,4295,121,40,91,8,8.06
POST00606,Facebook,2024-06-25,04:18,Reel,9939,18846,483,12,8,13,1,5.19
POST00607,Facebook,2024-01-22,18:22,Story,37541,90485,864,27,15,13,4,2.45
POST00608,Instagram,2024-08-14,23:30,Story,26952,46531,2154,26,29,25,5,8.29
POST00609,Facebook,2024-04-19,22:17,Video,31649,41037,852,38,10,20,3,2.91
POST00610,Instagram,2024-10-14,04:06,Video,52020,62842,3570,171,22,47,34,7.32
POST00611,Facebook,2024-11-11,07:15,Image,14182,26866,869,34,7,23,8,6.58
POST00612,Instagram,2024-01-26,16:14,Carousel,44335,62951,3486,153,43,76,10,8.48
POST00613,Facebook,2024-11-22,18:26,Carousel,34384,71120,962,42,16,9,8,2.99
POST00614,Instagram,2024-06-18,03:43,Video,62279,113934,4212,139,42,110,13,7.23
POST00615,Instagram,2024-03-11,22:59,Reel,12747,17675,396,6,5,10,0,3.27
POST00616,LinkedIn,2024-03-21,15:30,Carousel,2988,4533,140,6,2,2,0,5.02
POST00617,Instagram,2024-11-29,20:20,Reel,76046,103555,4256,136,54,101,36,5.98
POST00618,Instagram,2024-05-26,02:41,Carousel,23625,44507,1447,30,23,15,2,6.41
POST00619,Facebook,2024-10-20,18:58,Video,45864,57893,3527,135,17,89,19,8.22
POST00620,LinkedIn,2024-03-30,05:59,Video,20044,49675,691,25,10,15,1,3.7
POST00621,LinkedIn,2024-01-19,12:50,Image,21941,54467,805,20,12,21,3,3.91
POST00622,Instagram,2024-09-10,20:56,Story,32933,80333,802,14,8,17,4,2.55
POST00623,Instagram,2024-01-20,22:38,Video,78148,115471,3490,133,28,60,15,4.75
POST00624,Twitter/X,2024-02-24,10:18,Story,1349,2174,48,1,0,1,0,3.71
POST00625,Facebook,2024-08-20,17:33,Carousel,36122,73194,2874,118,24,38,25,8.45
POST00626,Facebook,2024-09-09,04:54,Image,11418,25815,902,41,16,9,1,8.48
POST00627,Facebook,2024-09-15,06:51,Video,10484,14711,682,22,6,13,2,6.9
POST00628,Facebook,2024-02-27,21:41,Carousel,41307,83491,2111,25,17,41,8,5.31
POST00629,Instagram,2024-05-11,00:47,Reel,72672,92187,3398,109,32,64,8,4.96
POST00630,Instagram,2024-06-21,18:43,Reel,50552,119791,2917,80,16,58,22,6.07
POST00631,Instagram,2024-04-08,21:52,Carousel,44458,55336,2593,34,29,41,15,6.07
POST00632,Instagram,2024-08-06,02:25,Reel,44493,62840,1168,18,21,24,6,2.77
POST00633,Instagram,2024-12-08,19:30,Reel,40983,56057,2644,94,25,59,7,6.89
POST00634,Facebook,2024-06-14,00:16,Carousel,22642,38504,1733,59,30,41,3,8.23
POST00635,LinkedIn,2024-07-15,20:21,Image,9424,13398,435,12,7,9,2,4.91
POST00636,Twitter/X,2024-06-03,18:00,Image,17124,39167,1343,65,8,35,9,8.47
POST00637,Facebook,2024-05-13,22:15,Image,54196,129277,2511,29,26,66,18,4.86
POST00638,Facebook,2024-02-01,14:19,Image,4211,9346,323,6,3,9,1,8.1
POST00639,Twitter/X,2024-03-22,16:59,Story,12442,25969,743,28,6,12,1,6.34
POST00640,LinkedIn,2024-12-26,22:07,Image,22024,30428,1386,67,27,27,12,6.84
POST00641,LinkedIn,2024-11-23,09:23,Video,29688,68000,2156,42,28,29,4,7.6
POST00642,Twitter/X,2024-11-10,19:30,Carousel,14928,31900,758,25,10,15,4,5.41
POST00643,LinkedIn,2024-03-19,19:23,Carousel,32173,46411,1006,17,5,21,8,3.26
POST00644,Instagram,2024-07-31,15:48,Image,9773,14304,780,24,7,23,7,8.53
POST00645,Facebook,2024-10-02,06:48,Image,26515,51836,1710,63,13,29,3,6.85
POST00646,Instagram,2024-05-06,19:55,Reel,40311,80850,993,30,10,16,6,2.6
POST00647,Instagram,2024-02-11,16:45,Carousel,30401,64275,2130,26,34,57,7,7.39
POST00648,Facebook,2024-07-04,22:07,Video,61580,76571,3373,56,52,45,10,5.73
POST00649,Facebook,2024-02-01,16:12,Story,6861,15002,343,15,2,7,1,5.35
POST00650,Instagram,2024-10-20,05:20,Reel,48492,105774,1870,52,20,55,6,4.12
POST00651,Instagram,2024-09-23,21:13,Reel,43205,98634,2050,41,37,28,19,4.99
POST00652,Instagram,2024-10-25,16:28,Reel,25786,63403,1216,58,18,19,3,5.08
POST00653,Instagram,2024-01-29,16:26,Image,39808,77504,2025,61,13,37,10,5.37
POST00654,LinkedIn,2024-08-21,17:29,Carousel,7795,10233,266,4,1,4,0,3.53
POST00655,Instagram,2024-12-10,23:01,Image,6582,10175,147,4,2,3,1,2.37
POST00656,Twitter/X,2024-07-21,18:47,Image,1731,3128,105,2,0,2,0,6.3
POST00657,Instagram,2024-04-21,01:27,Carousel,29207,52071,1441,26,8,30,2,5.15
POST00658,Facebook,2024-06-25,17:03,Story,12880,19463,739,21,13,11,0,6.09
POST00659,Instagram,2024-02-05,15:02,Video,14992,32010,325,8,4,4,2,2.27
POST00660,Instagram,2024-05-26,04:49,Reel,54517,107663,1441,15,26,22,12,2.76
POST00661,Twitter/X,2024-11-24,20:26,Image,22460,39031,1364,26,8,34,9,6.38
POST00662,Twitter/X,2024-07-10,12:28,Image,11473,16209,435,6,3,11,1,3.97
POST00663,Instagram,2024-07-12,22:08,Video,47426,82569,1422,70,24,22,2,3.24
POST00664,Instagram,2024-11-30,03:11,Image,21363,47478,739,16,9,8,4,3.61
POST00665,Twitter/X,2024-10-02,19:46,Video,15157,30745,367,8,4,10,1,2.57
POST00666,LinkedIn,2024-04-24,00:19,Video,24952,42602,1833,77,28,27,16,7.88
POST00667,Instagram,2024-08-25,17:27,Reel,58072,70944,4205,81,34,103,16,7.62
POST00668,Facebook,2024-09-29,19:15,Image,26089,55636,1561,37,8,37,14,6.3
POST00669,Facebook,2024-08-23,20:12,Video,63382,118741,1296,34,20,24,9,2.17
POST00670,Instagram,2024-02-27,21:39,Carousel,46459,66494,1909,52,11,41,12,4.33
POST00671,LinkedIn,2024-01-09,18:06,Image,10833,19309,533,9,7,9,5,5.15
POST00672,Facebook,2024-10-31,22:43,Video,67631,157556,5022,50,69,122,32,7.78
POST00673,Instagram,2024-12-26,07:47,Video,32033,76536,1285,61,16,29,7,4.34
POST00674,Instagram,2024-01-23,07:34,Reel,70357,169484,3343,57,31,36,17,4.93
POST00675,Twitter/X,2024-04-21,01:08,Carousel,2209,3853,112,1,2,2,0,5.3
POST00676,Facebook,2024-09-14,07:52,Image,7710,12323,599,29,5,11,5,8.35
POST00677,Instagram,2024-10-21,22:49,Reel,91162,118712,3633,72,72,64,27,4.21
POST00678,LinkedIn,2024-12-10,07:19,Image,16831,26351,751,14,3,20,7,4.68
POST00679,Instagram,2024-03-14,16:14,Video,44856,93494,3118,49,23,80,20,7.29
POST00680,Instagram,2024-07-30,18:35,Reel,42404,100443,2435,37,16,65,5,6.02
POST00681,Facebook,2024-10-29,05:40,Image,4040,9615,101,4,1,2,0,2.67
POST00682,LinkedIn,2024-12-13,15:03,Carousel,18776,45496,581,18,6,17,2,3.31
POST00683,Facebook,2024-06-25,21:24,Story,12457,15670,356,3,4,10,2,2.99
POST00684,LinkedIn,2024-09-25,21:26,Image,4116,9771,258,11,3,3,2,6.68
POST00685,Instagram,2024-03-17,19:48,Video,48822,99730,1481,66,21,19,14,3.25
POST00686,Facebook,2024-10-02,07:19,Image,10957,16940,239,3,3,6,0,2.29
POST00687,LinkedIn,2024-12-28,21:58,Carousel,5968,11404,314,4,3,8,2,5.51
POST00688,Instagram,2024-01-30,13:35,Image,5727,7461,268,3,1,5,2,4.84
POST00689,Twitter/X,2024-09-28,19:16,Reel,33948,52837,1330,53,22,23,6,4.21
POST00690,Instagram,2024-04-14,18:59,Video,59830,84307,3710,149,24,74,30,6.61
POST00691,Twitter/X,2024-08-18,02:34,Video,4202,7968,183,8,2,3,0,4.66
POST00692,LinkedIn,2024-04-07,21:43,Carousel,10708,21033,814,31,15,22,5,8.24
POST00693,Facebook,2024-11-05,02:12,Reel,35734,86978,1368,22,16,22,1,4.0
POST00694,Instagram,2024-10-27,17:13,Reel,9670,12634,366,13,3,5,0,4.0
POST00695,Facebook,2024-09-02,20:19,Image,49571,72759,3101,33,34,79,12,6.55
POST00696,Facebook,2024-01-08,19:47,Image,41788,81839,1995,85,30,27,16,5.11
POST00697,Facebook,2024-03-01,15:58,Image,22049,34127,1127,21,7,14,7,5.3
POST00698,LinkedIn,2024-05-04,22:13,Image,14740,20125,1103,32,13,11,8,7.86
POST00699,Facebook,2024-07-22,17:20,Image,19138,42925,1286,39,12,16,4,7.07
POST00700,Facebook,2024-05-24,22:41,Carousel,29446,42799,1142,39,16,27,2,4.16
POST00701,LinkedIn,2024-07-02,20:32,Video,9046,15108,239,10,4,3,1,2.83
POST00702,Facebook,2024-09-11,23:30,Reel,34407,49110,2076,35,32,41,14,6.35
POST00703,Instagram,2024-06-12,11:20,Reel,64647,133518,3207,150,16,78,28,5.34
POST00704,Instagram,2024-07-30,19:47,Reel,78489,194852,1833,28,10,41,2,2.44
POST00705,LinkedIn,2024-03-15,22:59,Video,8671,16735,262,4,2,5,0,3.15
POST00706,Instagram,2024-10-26,13:18,Story,35471,53681,742,18,4,11,1,2.18
POST00707,Instagram,2024-03-19,19:24,Video,23381,56552,1438,23,12,38,4,6.46
POST00708,Instagram,2024-10-18,15:35,Reel,71946,172386,4245,57,81,64,17,6.18
POST00709,Facebook,2024-12-01,10:16,Image,21549,29313,949,22,15,24,2,4.69
POST00710,Facebook,2024-09-07,20:47,Video,58983,98506,2617,110,27,28,6,4.72
POST00711,Twitter/X,2024-09-08,23:50,Image,18771,32047,1027,47,13,13,4,5.86
POST00712,LinkedIn,2024-06-29,22:31,Reel,23231,54055,1710,80,10,35,13,7.9
POST00713,LinkedIn,2024-04-04,17:41,Reel,10366,14966,213,2,2,5,0,2.14
POST00714,Instagram,2024-01-31,02:52,Image,25803,49408,1475,53,25,21,3,6.1
POST00715,Twitter/X,2024-12-08,18:26,Image,20687,47482,1035,50,6,16,6,5.35
POST00716,Facebook,2024-03-11,07:04,Story,15686,35861,1218,49,17,26,10,8.35
POST00717,Facebook,2024-12-28,19:32,Carousel,32108,70343,2016,36,27,55,9,6.65
POST00718,Twitter/X,2024-08-21,22:40,Video,13683,29664,1065,41,21,25,3,8.42
POST00719,LinkedIn,2024-12-07,15:42,Carousel,19709,24104,1225,13,17,16,7,6.45
POST00720,Facebook,2024-09-06,22:35,Image,44115,87410,3128,142,38,76,12,7.67
POST00721,Instagram,2024-07-29,22:46,Video,69472,111775,1741,65,27,29,2,2.68
POST00722,Facebook,2024-05-20,09:01,Video,5158,12564,229,6,1,2,1,4.61
POST00723,Facebook,2024-09-14,21:27,Video,54310,71836,1495,39,24,41,10,2.94
POST00724,Instagram,2024-04-01,18:33,Reel,66084,150134,2977,38,27,88,18,4.74
POST00725,LinkedIn,2024-03-17,22:33,Image,14821,17980,428,17,5,8,4,3.09
POST00726,Twitter/X,2024-05-09,08:50,Image,16651,38347,1238,39,17,18,10,7.88
POST00727,Facebook,2024-07-22,21:29,Video,38131,86910,2281,53,43,64,6,6.4
POST00728,Instagram,2024-10-16,19:19,Reel,47119,114598,1094,15,8,26,7,2.43
POST00729,Twitter/X,2024-12-16,02:41,Reel,9898,19047,638,13,8,7,3,6.73
POST00730,LinkedIn,2024-11-28,02:25,Carousel,19193,34083,1030,45,12,29,5,5.81
POST00731,Facebook,2024-07-13,21:03,Carousel,26446,49705,566,15,5,14,1,2.27
POST00732,Instagram,2024-11-22,19:05,Video,50241,73296,2285,58,42,57,12,4.86
POST00733,Twitter/X,2024-09-12,20:50,Video,22614,37024,1248,17,19,22,10,5.78
POST00734,Facebook,2024-06-18,03:57,Image,25942,62874,1891,57,31,40,11,7.78
POST00735,Instagram,2024-09-27,07:13,Image,38743,82147,2433,48,36,33,5,6.58
POST00736,Twitter/X,2024-12-20,15:17,Video,20144,25838,1069,46,21,19,4,5.73
POST00737,Twitter/X,2024-01-24,21:59,Image,24281,51902,821,30,16,19,7,3.65
POST00738,Twitter/X,2024-05-23,18:42,Video,10204,12979,533,6,10,13,3,5.51
POST00739,LinkedIn,2024-01-17,20:01,Reel,37249,71189,2197,88,31,45,17,6.34
POST00740,LinkedIn,2024-04-16,22:52,Reel,26082,52407,537,9,6,15,2,2.17
POST00741,Facebook,2024-07-22,09:10,Carousel,13635,17528,850,16,9,16,7,6.53
POST00742,Facebook,2024-10-15,21:43,Image,50401,111618,1616,21,19,16,2,3.32
POST00743,LinkedIn,2024-10-03,19:50,Carousel,6283,9821,257,12,2,7,0,4.42
POST00744,Instagram,2024-12-18,16:47,Carousel,12869,29584,818,40,6,11,2,6.8
POST00745,LinkedIn,2024-06-26,21:14,Image,13658,32507,871,34,5,14,7,6.77
POST00746,Instagram,2024-02-08,22:38,Image,69995,84821,1716,34,25,47,8,2.6
POST00747,Facebook,2024-07-22,10:01,Image,23080,44466,927,28,18,22,6,4.31
POST00748,Instagram,2024-11-20,21:31,Reel,102639,201311,2105,85,33,36,3,2.2
POST00749,LinkedIn,2024-04-26,21:27,Story,7744,15269,437,11,6,6,3,5.94
POST00750,Instagram,2024-04-05,21:24,Reel,87893,153489,4722,48,29,130,8,5.61
POST00751,LinkedIn,2024-02-13,09:51,Carousel,3363,5680,254,7,3,7,2,8.06
POST00752,Facebook,2024-05-06,02:17,Video,12032,21800,276,4,4,5,1,2.4
POST00753,Facebook,2024-03-19,19:47,Carousel,40887,69811,3047,34,50,85,15,7.87
POST00754,Facebook,2024-07-18,18:05,Story,44279,83256,1195,18,15,34,4,2.85
POST00755,Twitter/X,2024-01-03,14:23,Carousel,9940,12665,600,18,8,13,2,6.43
POST00756,Instagram,2024-05-18,18:11,Video,88956,153740,4368,138,75,58,36,5.21
POST00757,LinkedIn,2024-08-08,17:32,Video,24614,43555,1700,54,32,49,2,7.46
POST00758,Facebook,2024-07-27,18:22,Reel,31585,56371,2065,86,25,57,7,7.07
POST00759,Facebook,2024-10-10,22:50,Carousel,11559,16719,849,23,6,15,3,7.73
POST00760,Facebook,2024-06-15,00:18,Reel,16249,22662,388,15,5,6,3,2.55
POST00761,Facebook,2024-07-30,18:46,Carousel,7274,15885,290,11,2,3,1,4.21
POST00762,LinkedIn,2024-10-13,07:36,Image,5003,6860,357,12,3,7,2,7.58
POST00763,LinkedIn,2024-09-23,21:10,Image,4124,5043,210,6,2,3,1,5.36
POST00764,Instagram,2024-03-12,20:31,Carousel,51280,89218,1898,40,23,46,8,3.91
POST00765,Facebook,2024-03-15,21:17,Video,33094,64287,2141,53,20,41,17,6.81
POST00766,Twitter/X,2024-08-03,18:23,Video,35123,83390,910,17,14,24,7,2.75
POST00767,Facebook,2024-05-08,23:40,Image,32309,49004,1554,52,28,43,11,5.19
POST00768,Instagram,2024-09-10,06:29,Reel,60043,98384,1524,73,26,29,4,2.75
POST00769,Twitter/X,2024-02-24,18:25,Image,26671,55043,1667,28,30,31,3,6.58
POST00770,LinkedIn,2024-06-19,12:51,Carousel,21448,49534,1377,62,15,34,13,6.94
POST00771,LinkedIn,2024-06-17,13:52,Image,4367,6967,109,1,1,2,0,2.59
POST00772,Twitter/X,2024-11-29,04:19,Image,5677,7288,444,14,5,9,2,8.31
POST00773,Instagram,2024-06-13,22:12,Video,23230,54149,1351,22,15,21,10,6.07
POST00774,Facebook,2024-09-02,21:20,Story,41966,69727,2052,61,19,50,18,5.2
POST00775,Twitter/X,2024-05-29,20:31,Carousel,12755,24662,569,13,3,6,4,4.63
POST00776,Instagram,2024-10-21,10:24,Video,56397,81454,1628,22,22,36,6,3.03
POST00777,Facebook,2024-05-23,12:23,Carousel,21000,45387,957,22,9,24,1,4.82
POST00778,Instagram,2024-02-28,06:37,Carousel,22352,41603,520,16,9,11,4,2.49
POST00779,LinkedIn,2024-10-06,22:01,Carousel,22255,54647,732,31,5,10,5,3.5
POST00780,Facebook,2024-08-24,06:28,Story,20329,34638,800,37,8,14,1,4.23
POST00781,LinkedIn,2024-05-29,02:52,Image,12131,28983,364,5,2,10,0,3.14
POST00782,Facebook,2024-07-28,04:40,Video,45589,58958,1532,72,28,39,1,3.67
POST00783,Instagram,2024-06-04,19:45,Reel,94684,225581,5494,70,102,160,9,6.15
POST00784,Facebook,2024-08-04,02:28,Video,12568,20227,482,7,4,8,3,3.99
POST00785,Instagram,2024-11-02,12:34,Video,12898,22766,407,7,6,6,3,3.3
POST00786,Instagram,2024-09-16,22:26,Video,27448,63426,557,26,3,14,2,2.19
POST00787,LinkedIn,2024-10-05,20:44,Video,43293,104293,1862,55,34,48,1,4.62
POST00788,Instagram,2024-10-01,02:06,Reel,74985,156323,5363,188,88,135,22,7.7
POST00789,Instagram,2024-05-07,11:10,Carousel,20037,47574,484,5,9,11,2,2.54
POST00790,LinkedIn,2024-11-27,18:41,Carousel,29560,59118,1321,62,7,18,8,4.76
POST00791,Facebook,2024-12-12,10:50,Image,38912,66030,1436,55,25,33,8,3.98
POST00792,Instagram,2024-08-08,18:16,Image,22876,36886,1509,45,14,39,13,7.02
POST00793,LinkedIn,2024-04-23,16:35,Image,4399,6939,320,5,5,9,2,7.71
POST00794,Instagram,2024-10-24,07:28,Story,8097,14644,593,21,6,9,2,7.77
POST00795,Facebook,2024-07-10,22:44,Video,38592,94157,2258,49,15,60,9,6.17
POST00796,LinkedIn,2024-09-13,18:30,Video,11069,14371,604,21,10,9,1,5.82
POST00797,Facebook,2024-02-23,18:07,Video,63391,79267,2006,63,38,53,17,3.41
POST00798,Instagram,2024-03-13,20:29,Reel,35952,80758,1514,66,25,25,10,4.53
POST00799,Instagram,2024-04-15,11:30,Carousel,11722,24821,811,15,12,14,3,7.27
POST00800,LinkedIn,2024-02-19,22:28,Image,8912,16875,178,3,1,2,1,2.06
POST00801,Instagram,2024-06-12,18:51,Video,58060,71261,1288,59,7,35,3,2.39
POST00802,LinkedIn,2024-12-29,20:41,Image,18639,41573,1048,31,5,31,4,5.98
POST00803,Instagram,2024-02-25,05:59,Reel,19033,29257,1107,31,19,31,11,6.24
POST00804,Instagram,2024-05-04,17:10,Carousel,29843,58732,1502,16,28,17,10,5.24
POST00805,LinkedIn,2024-06-18,14:14,Carousel,19616,35960,1425,44,27,28,7,7.77
POST00806,Instagram,2024-07-26,05:40,Carousel,13205,25389,584,16,3,9,2,4.63
POST00807,Facebook,2024-12-02,00:47,Video,19060,23721,950,15,7,16,4,5.18
POST00808,Facebook,2024-11-10,14:37,Image,25620,36826,1394,49,18,34,5,5.84
POST00809,LinkedIn,2024-08-07,19:13,Video,5493,8717,120,4,1,1,0,2.29
POST00810,Twitter/X,2024-05-22,02:36,Video,10653,19047,240,5,2,6,1,2.37
POST00811,Instagram,2024-02-22,17:11,Story,33653,49194,2609,90,23,29,3,8.17
POST00812,Instagram,2024-07-06,21:07,Carousel,36083,77260,1180,16,18,15,9,3.41
POST00813,Instagram,2024-05-14,15:33,Video,64706,135904,3514,162,24,72,31,5.83
POST00814,Facebook,2024-11-23,21:39,Video,50691,79158,2000,95,18,38,14,4.24
POST00815,Instagram,2024-07-19,11:22,Reel,30123,70093,1734,63,11,50,3,6.17
POST00816,LinkedIn,2024-08-22,21:45,Image,31281,66814,2040,38,23,45,16,6.86
POST00817,Instagram,2024-06-01,18:05,Story,42431,96174,2336,70,22,57,8,5.86
POST00818,LinkedIn,2024-12-10,18:15,Image,10260,20704,635,24,3,17,3,6.62
POST00819,Instagram,2024-06-05,20:44,Video,87915,206853,3754,150,24,73,37,4.55
POST00820,LinkedIn,2024-03-13,13:38,Image,23776,58866,667,15,8,13,3,2.96
POST00821,Instagram,2024-03-11,13:11,Image,34381,68301,1842,54,23,24,15,5.65
POST00822,Facebook,2024-09-06,22:58,Image,38984,94036,2995,74,21,61,6,8.08
POST00823,Twitter/X,2024-11-26,05:35,Image,18270,32341,1198,32,22,33,10,7.03
POST00824,Instagram,2024-03-26,04:11,Carousel,22064,44021,1190,45,22,33,11,5.85
POST00825,Instagram,2024-06-10,19:03,Image,7509,18459,265,11,3,5,1,3.78
POST00826,Facebook,2024-07-02,15:08,Image,15411,24196,1128,27,8,26,2,7.72
POST00827,LinkedIn,2024-04-09,17:32,Story,16100,38273,437,13,4,4,3,2.84
POST00828,Twitter/X,2024-11-30,21:31,Image,7855,18140,588,12,10,9,3,7.88
POST00829,Instagram,2024-07-31,14:31,Image,29815,71629,2001,46,34,36,7,7.1
POST00830,LinkedIn,2024-03-26,18:50,Image,12602,21449,618,14,6,18,4,5.21
POST00831,Instagram,2024-04-22,20:14,Reel,88957,183058,4082,165,81,94,5,4.97
POST00832,Instagram,2024-10-02,21:36,Carousel,55440,102857,2921,62,56,78,21,5.62
POST00833,Instagram,2024-09-10,03:36,Image,5256,7405,413,6,5,7,2,8.2
POST00834,Instagram,2024-02-28,22:52,Reel,19980,33678,1202,15,10,29,6,6.29
POST00835,Facebook,2024-07-06,01:48,Image,4193,7902,160,3,0,4,0,3.98
POST00836,LinkedIn,2024-08-13,13:06,Video,17356,40403,589,20,6,8,4,3.59
POST00837,LinkedIn,2024-11-30,09:55,Carousel,5614,8117,305,5,5,8,1,5.75
POST00838,Facebook,2024-01-17,11:55,Image,32318,77517,1024,49,7,20,8,3.4
POST00839,Instagram,2024-02-14,03:49,Reel,71784,143958,4345,178,58,99,4,6.52
POST00840,Instagram,2024-05-01,22:44,Story,28385,62123,2245,107,17,61,16,8.56
POST00841,Facebook,2024-06-28,19:40,Video,52816,76737,3374,54,60,68,6,6.73
POST00842,LinkedIn,2024-08-07,19:50,Video,3768,5008,211,3,1,4,0,5.81
POST00843,Facebook,2024-04-15,01:36,Image,27405,68052,1470,55,14,17,14,5.68
POST00844,Instagram,2024-06-28,19:34,Reel,76890,100273,2382,79,31,59,19,3.32
POST00845,Instagram,2024-03-27,20:18,Image,20767,31667,497,18,6,8,2,2.55
POST00846,Instagram,2024-10-20,22:57,Reel,19552,27928,1091,29,12,16,9,5.87
POST00847,Facebook,2024-12-13,04:48,Video,29278,42053,736,28,5,17,3,2.68
POST00848,Facebook,2024-07-29,08:55,Video,16217,30573,1038,12,19,24,3,6.74
POST00849,Instagram,2024-12-01,19:15,Reel,67440,154831,3454,153,17,36,31,5.43
POST00850,LinkedIn,2024-03-15,07:48,Video,10567,21537,426,16,5,6,2,4.29
POST00851,Instagram,2024-12-12,19:36,Reel,21505,33294,1209,54,24,26,5,6.11
POST00852,Instagram,2024-11-19,21:24,Video,76046,174846,4308,49,79,91,37,5.95
POST00853,LinkedIn,2024-08-19,18:25,Carousel,4824,7884,333,3,6,6,1,7.21
POST00854,Facebook,2024-09-20,22:59,Carousel,6302,7628,161,1,2,1,1,2.62
POST00855,Instagram,2024-07-07,15:20,Carousel,44159,108182,2470,104,16,44,9,5.96
POST00856,Facebook,2024-10-24,18:46,Carousel,28221,52341,2032,97,22,40,19,7.76
POST00857,Instagram,2024-08-22,22:22,Carousel,36558,88846,1641,37,23,46,14,4.78
POST00858,Twitter/X,2024-02-02,12:13,Image,18790,41348,926,21,12,23,7,5.23
POST00859,Instagram,2024-08-07,15:17,Reel,8535,20883,647,26,10,10,5,8.12
POST00860,Facebook,2024-06-14,10:35,Image,26572,36006,889,26,15,21,7,3.58
POST00861,Facebook,2024-10-22,21:50,Video,45543,71964,3301,134,37,82,31,7.8
POST00862,Facebook,2024-06-24,01:02,Image,38165,75752,1004,33,12,27,5,2.82
POST00863,Instagram,2024-02-20,14:01,Reel,29619,55099,1531,64,24,35,3,5.58
POST00864,LinkedIn,2024-03-04,05:28,Video,20252,33307,1416,29,22,16,13,7.32
POST00865,Facebook,2024-08-21,21:12,Carousel,32265,39068,971,32,15,27,7,3.24
POST00866,LinkedIn,2024-12-18,20:19,Image,18939,39370,1180,34,12,17,9,6.56
POST00867,Facebook,2024-03-22,08:05,Video,14453,18242,1026,51,18,26,4,7.76
POST00868,Instagram,2024-12-01,18:23,Reel,100123,207096,3063,101,56,50,21,3.27
POST00869,Instagram,2024-12-06,05:03,Reel,67459,151612,3787,82,69,101,19,5.99
POST00870,Instagram,2024-07-21,23:44,Reel,33060,79481,2568,45,38,30,19,8.11
POST00871,Instagram,2024-04-29,02:45,Reel,61996,86127,2750,39,37,29,15,4.61
POST00872,Twitter/X,2024-02-18,21:04,Carousel,5731,13746,150,2,2,4,1,2.76
POST00873,Instagram,2024-03-08,16:43,Reel,30882,43671,1894,57,15,31,11,6.47
POST00874,Instagram,2024-08-15,20:52,Image,27547,53442,1892,80,14,23,14,7.29
POST00875,Instagram,2024-03-02,13:44,Carousel,41310,82946,2754,82,28,42,18,7.03
POST00876,LinkedIn,2024-03-08,07:24,Carousel,15518,34051,472,10,9,14,2,3.25
POST00877,Twitter/X,2024-02-15,03:06,Video,2969,3846,68,3,0,1,0,2.43
POST00878,Instagram,2024-06-09,20:08,Carousel,17497,24849,1001,38,13,24,2,6.15
POST00879,Twitter/X,2024-07-14,04:41,Video,20906,36350,1283,30,11,38,9,6.51
POST00880,Facebook,2024-12-12,22:36,Video,46436,76260,946,27,4,11,3,2.13
POST00881,Facebook,2024-01-05,05:28,Image,11009,14246,850,16,16,15,8,8.15
POST00882,Facebook,2024-06-28,20:47,Story,43831,58844,2367,111,13,43,17,5.78
POST00883,Facebook,2024-03-18,19:43,Carousel,25823,35725,517,21,3,11,4,2.14
POST00884,Instagram,2024-08-14,02:57,Reel,65503,92442,3959,60,67,117,17,6.42
POST00885,Facebook,2024-02-21,18:37,Image,5896,9394,352,5,5,4,1,6.21
POST00886,Instagram,2024-07-15,21:20,Reel,32726,76782,2405,42,34,28,10,7.67
POST00887,LinkedIn,2024-03-12,18:15,Carousel,14874,23312,634,8,10,12,4,4.46
POST00888,Instagram,2024-10-10,23:38,Video,18138,27184,1178,41,19,22,11,6.95
POST00889,Facebook,2024-05-25,22:01,Image,17157,27137,754,33,9,17,3,4.74
POST00890,Instagram,2024-12-03,06:33,Story,19751,40448,1256,12,23,16,3,6.62
POST00891,Instagram,2024-11-06,23:25,Image,27551,49317,1659,37,17,49,5,6.4
POST00892,Facebook,2024-05-31,07:31,Carousel,31024,53974,1765,51,20,30,11,6.01
POST00893,Facebook,2024-07-16,21:40,Carousel,22985,46437,1774,56,27,37,15,8.24
POST00894,Twitter/X,2024-10-31,18:23,Image,6836,13185,175,3,1,2,1,2.65
POST00895,Instagram,2024-06-11,22:26,Reel,24956,59335,1754,50,19,25,13,7.41
POST00896,Instagram,2024-07-06,05:48,Reel,33150,66263,2318,68,15,23,8,7.31
POST00897,LinkedIn,2024-08-29,02:01,Carousel,9634,17768,436,11,3,5,1,4.72
POST00898,Instagram,2024-10-27,20:13,Video,86774,174887,3382,165,26,57,14,4.18
POST00899,Instagram,2024-01-21,12:32,Carousel,46000,74860,2605,116,13,48,7,6.05
POST00900,Facebook,2024-05-26,16:49,Video,8405,11111,426,13,5,10,1,5.4
POST00901,Twitter/X,2024-07-31,12:05,Video,7702,10749,386,16,4,7,3,5.36
POST00902,LinkedIn,2024-11-23,19:09,Video,44433,77316,1976,45,33,49,10,4.73
POST00903,Instagram,2024-05-22,18:32,Video,53505,119577,2337,69,42,42,13,4.65
POST00904,Instagram,2024-04-14,04:34,Image,18407,40489,861,24,12,10,4,4.93
POST00905,Twitter/X,2024-06-16,18:19,Image,18410,44598,656,28,11,16,1,3.86
